wheelsSpeedSent;kickerStatusSent;chipperStatusSent;dribblerStatusSent;currentsSent;batteryVoltageSent;ballPresenceSent;robotID;isKicking;isChipping;isDribbling;isBallPresence;wheelSpeed1;wheelSpeed2;wheelSpeed4;wheelSpeed5;dribblerSpeed;rawSpeed1;rawSpeed2;rawSpeed4;rawSpeed5;currents1;currents2;currents3;currents4;currents5;isKickerDone;isKickerCharging;kickDoneSent;kickChgSent;time;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.7;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.72;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.74;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.78;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.82;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.86;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;34.9;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;35.0;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;35.56;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;35.6;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;35.64;
1;0;0;0;0;0;0;1;0;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;1;1;1;35.68;
